OriginalArchivePath,DestinationProjectPath,SizeBytes,CompressedBytes
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/00_Cartridge_And_Cloud_Guide_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/00_Cartridge_And_Cloud_Guide_v0.3.pdf,103150,100492
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/Cartridge_And_Cloud_Documentation_Validation_Report_v0.1.pdf,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/Cartridge_And_Cloud_Documentation_Validation_Report_v0.1.pdf,29737,28723
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/Cartridge_And_Cloud_Document_Migration_Plan_v0.1.pdf,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/Cartridge_And_Cloud_Document_Migration_Plan_v0.1.pdf,22634,21730
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/Cartridge_And_Cloud_Enfoque_v0.6.pdf,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/Cartridge_And_Cloud_Enfoque_v0.6.pdf,338168,324095
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/Cartridge_And_Cloud_Package_Manifest_v0.1.pdf,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/Cartridge_And_Cloud_Package_Manifest_v0.1.pdf,40833,39516
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.3.pdf,26270,24975
Cartridge_And_Cloud_Documentation_v0.3/00_Project_Governance/Enfoque_v0.6.md,Documentation/00_Official_Baseline/v0.3/00_Project_Governance/Enfoque_v0.6.md,122708,37722
Cartridge_And_Cloud_Documentation_v0.3/01_Design/Cartridge_And_Cloud_Economy_Balance_Specification_v0.1.pdf,Documentation/00_Official_Baseline/v0.3/01_Design/Cartridge_And_Cloud_Economy_Balance_Specification_v0.1.pdf,102712,100005
Cartridge_And_Cloud_Documentation_v0.3/01_Design/Cartridge_And_Cloud_GDD_v0.4_PCSteam.pdf,Documentation/00_Official_Baseline/v0.3/01_Design/Cartridge_And_Cloud_GDD_v0.4_PCSteam.pdf,292627,284205
Cartridge_And_Cloud_Documentation_v0.3/01_Design/Cartridge_And_Cloud_Initial_Content_Catalog_v0.1.pdf,Documentation/00_Official_Baseline/v0.3/01_Design/Cartridge_And_Cloud_Initial_Content_Catalog_v0.1.pdf,82740,80472
Cartridge_And_Cloud_Documentation_v0.3/01_Design/Cartridge_And_Cloud_UX_Flow_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/01_Design/Cartridge_And_Cloud_UX_Flow_v0.3.pdf,227782,221382
Cartridge_And_Cloud_Documentation_v0.3/01_Design/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.1.pdf,Documentation/00_Official_Baseline/v0.3/01_Design/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.1.pdf,37172,36081
Cartridge_And_Cloud_Documentation_v0.3/02_Technical/Cartridge_And_Cloud_Build_Versioning_Guide_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/02_Technical/Cartridge_And_Cloud_Build_Versioning_Guide_v0.3.pdf,25562,24675
Cartridge_And_Cloud_Documentation_v0.3/02_Technical/Cartridge_And_Cloud_CSharp_Coding_Standards_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/02_Technical/Cartridge_And_Cloud_CSharp_Coding_Standards_v0.3.pdf,27744,26864
Cartridge_And_Cloud_Documentation_v0.3/02_Technical/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/02_Technical/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.pdf,201297,195571
Cartridge_And_Cloud_Documentation_v0.3/02_Technical/Cartridge_And_Cloud_TDD_v0.3_Technical_Design_Document.pdf,Documentation/00_Official_Baseline/v0.3/02_Technical/Cartridge_And_Cloud_TDD_v0.3_Technical_Design_Document.pdf,59929,58226
Cartridge_And_Cloud_Documentation_v0.3/02_Technical/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/02_Technical/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.3.pdf,28287,27313
Cartridge_And_Cloud_Documentation_v0.3/03_Visual_Audio/Cartridge_And_Cloud_Art_Bible_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/03_Visual_Audio/Cartridge_And_Cloud_Art_Bible_v0.3.pdf,48581,47268
Cartridge_And_Cloud_Documentation_v0.3/03_Visual_Audio/Cartridge_And_Cloud_Audio_Bible_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/03_Visual_Audio/Cartridge_And_Cloud_Audio_Bible_v0.3.pdf,24871,23999
Cartridge_And_Cloud_Documentation_v0.3/03_Visual_Audio/Cartridge_And_Cloud_UI_Style_Guide_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/03_Visual_Audio/Cartridge_And_Cloud_UI_Style_Guide_v0.3.pdf,128476,124679
Cartridge_And_Cloud_Documentation_v0.3/04_QA_Production/Cartridge_And_Cloud_Excel_Maestro_Produccion_v0.3.xlsx,Documentation/00_Official_Baseline/v0.3/04_QA_Production/Cartridge_And_Cloud_Excel_Maestro_Produccion_v0.3.xlsx,28877,26671
Cartridge_And_Cloud_Documentation_v0.3/04_QA_Production/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/04_QA_Production/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.3.pdf,28949,27887
Cartridge_And_Cloud_Documentation_v0.3/04_QA_Production/Cartridge_And_Cloud_QA_Testing_Matrix_v0.3.xlsx,Documentation/00_Official_Baseline/v0.3/04_QA_Production/Cartridge_And_Cloud_QA_Testing_Matrix_v0.3.xlsx,21821,20188
Cartridge_And_Cloud_Documentation_v0.3/04_QA_Production/Cartridge_And_Cloud_QA_Testing_Plan_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/04_QA_Production/Cartridge_And_Cloud_QA_Testing_Plan_v0.3.pdf,39300,38175
Cartridge_And_Cloud_Documentation_v0.3/04_QA_Production/Cartridge_And_Cloud_Trazabilidad_Control_Cambios_v0.3.xlsx,Documentation/00_Official_Baseline/v0.3/04_QA_Production/Cartridge_And_Cloud_Trazabilidad_Control_Cambios_v0.3.xlsx,12755,11755
Cartridge_And_Cloud_Documentation_v0.3/05_Business_Release/Cartridge_And_Cloud_Legal_Credits_Licenses_Register_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/05_Business_Release/Cartridge_And_Cloud_Legal_Credits_Licenses_Register_v0.3.pdf,22534,21700
Cartridge_And_Cloud_Documentation_v0.3/05_Business_Release/Cartridge_And_Cloud_Localization_Plan_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/05_Business_Release/Cartridge_And_Cloud_Localization_Plan_v0.3.pdf,27103,26164
Cartridge_And_Cloud_Documentation_v0.3/05_Business_Release/Cartridge_And_Cloud_Marketing_Plan_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/05_Business_Release/Cartridge_And_Cloud_Marketing_Plan_v0.3.pdf,33440,32324
Cartridge_And_Cloud_Documentation_v0.3/05_Business_Release/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.pdf,Documentation/00_Official_Baseline/v0.3/05_Business_Release/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.pdf,23140,22279
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/00_Cartridge_And_Cloud_Guide_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/00_Cartridge_And_Cloud_Guide_v0.3.md,39503,13555
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Art_Bible_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Art_Bible_v0.3.md,13594,5717
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Audio_Bible_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Audio_Bible_v0.3.md,3927,2068
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Build_Versioning_Guide_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Build_Versioning_Guide_v0.3.md,3678,1915
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_CSharp_Coding_Standards_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_CSharp_Coding_Standards_v0.3.md,4466,2299
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Documentation_Validation_Report_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Documentation_Validation_Report_v0.1.md,7445,3418
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Document_Migration_Plan_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Document_Migration_Plan_v0.1.md,3639,1709
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Economy_Balance_Specification_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Economy_Balance_Specification_v0.1.md,30444,11059
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Enfoque_v0.6_PDF_Source.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Enfoque_v0.6_PDF_Source.md,124327,38414
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_GDD_v0.4_PCSteam.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_GDD_v0.4_PCSteam.md,114534,35851
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Initial_Content_Catalog_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Initial_Content_Catalog_v0.1.md,23013,8689
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Legal_Credits_Licenses_Register_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Legal_Credits_Licenses_Register_v0.3.md,3972,1974
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Localization_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Localization_Plan_v0.3.md,3806,2016
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Marketing_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Marketing_Plan_v0.3.md,8241,3780
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.md,71576,24452
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Package_Manifest_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Package_Manifest_v0.1.md,6551,2441
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.3.md,5738,2879
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.3.md,4609,1985
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_QA_Testing_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_QA_Testing_Plan_v0.3.md,9293,4357
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.md,3923,2022
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_TDD_v0.3_Technical_Design_Document.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_TDD_v0.3_Technical_Design_Document.md,17342,7229
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_UI_Style_Guide_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_UI_Style_Guide_v0.3.md,47855,16780
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.3.md,4564,2322
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_UX_Flow_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_UX_Flow_v0.3.md,87463,28711
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.1.md,8682,3906
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/cc_style.css,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/cc_style.css,2876,1106
Cartridge_And_Cloud_Documentation_v0.3/CHECKSUMS_SHA256.txt,Documentation/00_Official_Baseline/v0.3/CHECKSUMS_SHA256.txt,7808,3391
Cartridge_And_Cloud_Documentation_v0.3/DOCUMENTATION_VALIDATION_REPORT.md,Documentation/00_Official_Baseline/v0.3/DOCUMENTATION_VALIDATION_REPORT.md,6971,3232
Cartridge_And_Cloud_Documentation_v0.3/MIGRATION_SUMMARY.md,Documentation/00_Official_Baseline/v0.3/MIGRATION_SUMMARY.md,1661,923
Cartridge_And_Cloud_Documentation_v0.3/PACKAGE_MANIFEST.md,Documentation/00_Official_Baseline/v0.3/PACKAGE_MANIFEST.md,6098,2242
Cartridge_And_Cloud_Documentation_v0.3/README.en.md,Documentation/00_Official_Baseline/v0.3/README.en.md,2005,1148
Cartridge_And_Cloud_Documentation_v0.3/README.md,Documentation/00_Official_Baseline/v0.3/README.md,2026,1160
